1,-1,-1,-1,-1,
-1,2,-1,-1,-1,
-1,-1,3,-1,-1,
-1,-1,4,-1,-1,
4,4,5,4,4,
4,4,6,4,4,
4,4,6,7,4,
4,4,5,4,4,

from_dfa_idx, to_dfa_idx, to_nfa_state, key, from_nfa_state
0,1,1,257,0
1,2,2,66050,1
2,3,3,131843,2
3,4,5,197637,3
3,4,8,197640,3
4,4,5,263173,8
4,4,8,263176,8
4,5,5,263429,8
4,5,6,263430,5
4,5,8,263432,8
5,4,5,328709,8
5,4,8,328712,8
5,6,5,329221,8
5,6,6,329222,5
5,6,7,329223,6
5,6,8,329224,8
6,4,5,394245,8
6,4,8,394248,8
6,6,5,394757,8
6,6,6,394758,5
6,6,7,394759,6
6,6,8,394760,8
6,7,5,395013,8
6,7,8,395016,8
6,7,9,395017,7
7,4,5,459781,8
7,4,8,459784,8
7,5,5,460037,8
7,5,6,460038,5
7,5,8,460040,8

